,Modification,Size,BPCY,WYIELD
26,"{'MI1PP': 32, 'MALTtexi': 0.03125, 'TTRCYCtpp': 2, 'LDH_D2': 0, 'BMOGDS2': 4, 'HYPOE': 0.25, 'AGM4PApp': 16, 'EX_ca2_e': 4}",8,0.12252478639596089,0.09189358979697085
27,"{'MI1PP': 32, 'MALTtexi': 0.03125, 'TTRCYCtpp': 2, 'LDH_D2': 0, 'BMOGDS2': 4, 'HYPOE': 0.25, 'AGM4PApp': 16, 'GLYOX': 16}",8,0.12252478639596089,0.09189358979697085
28,"{'LDH_D2': 0, 'BMOGDS2': 4, 'AGM4PApp': 16, 'GLYOX': 16, 'EX_ca2_e': 4, 'PGPP141pp': 8, 'ARBTNtpp': 0.5}",7,0.12252478639596089,0.09189358979697085
29,"{'MALTtexi': 0.03125, 'BMOGDS2': 4, 'AGM4PApp': 16, 'GLYOX': 16, 'EX_ca2_e': 4, 'PGPP141pp': 8, 'ARBTNtpp': 0.5}",7,0.12252478639596089,0.09189358979697085
30,"{'MALTtexi': 0.03125, 'LDH_D2': 0, 'AGM4PApp': 16, 'GLYOX': 16, 'EX_ca2_e': 4, 'PGPP141pp': 8, 'ARBTNtpp': 0.5}",7,0.12252478639596089,0.09189358979697085
31,"{'MALTtexi': 0.03125, 'LDH_D2': 0, 'BMOGDS2': 4, 'GLYOX': 16, 'EX_ca2_e': 4, 'PGPP141pp': 8, 'ARBTNtpp': 0.5}",7,0.12252478639596089,0.09189358979697085
32,"{'MALTtexi': 0.03125, 'LDH_D2': 0, 'BMOGDS2': 4, 'AGM4PApp': 16, 'EX_ca2_e': 4, 'PGPP141pp': 8, 'ARBTNtpp': 0.5}",7,0.12252478639596089,0.09189358979697085
33,"{'MALTtexi': 0.03125, 'LDH_D2': 0, 'BMOGDS2': 4, 'AGM4PApp': 16, 'GLYOX': 16, 'PGPP141pp': 8, 'ARBTNtpp': 0.5}",7,0.12252478639596089,0.09189358979697085
34,"{'MALTtexi': 0.03125, 'LDH_D2': 0, 'BMOGDS2': 4, 'AGM4PApp': 16, 'GLYOX': 16, 'EX_ca2_e': 4, 'ARBTNtpp': 0.5}",7,0.12252478639596089,0.09189358979697085
35,"{'MALTtexi': 0.03125, 'LDH_D2': 0, 'BMOGDS2': 4, 'AGM4PApp': 16, 'GLYOX': 16, 'EX_ca2_e': 4, 'PGPP141pp': 8}",7,0.12252478639596089,0.09189358979697085
36,"{'MALTtexi': 0.03125, 'LDH_D2': 0, 'MNNH': 0.03125, 'TTRCYCtpp': 2, 'BMOGDS2': 4, 'AGM4PApp': 16, 'GLYOX': 16, 'EX_ca2_e': 4}",8,0.12252478639596089,0.09189358979697085
37,"{'MI1PP': 32, 'LDH_D2': 0, 'MNNH': 0.03125, 'TTRCYCtpp': 2, 'BMOGDS2': 4, 'AGM4PApp': 16, 'GLYOX': 16, 'EX_ca2_e': 4}",8,0.12252478639596089,0.09189358979697085
38,"{'MI1PP': 32, 'MALTtexi': 0.03125, 'MNNH': 0.03125, 'TTRCYCtpp': 2, 'BMOGDS2': 4, 'AGM4PApp': 16, 'GLYOX': 16, 'EX_ca2_e': 4}",8,0.12252478639596089,0.09189358979697085
39,"{'MI1PP': 32, 'MALTtexi': 0.03125, 'LDH_D2': 0, 'MNNH': 0.03125, 'BMOGDS2': 4, 'AGM4PApp': 16, 'GLYOX': 16, 'EX_ca2_e': 4}",8,0.12252478639596089,0.09189358979697085
40,"{'MI1PP': 32, 'MALTtexi': 0.03125, 'LDH_D2': 0, 'MNNH': 0.03125, 'TTRCYCtpp': 2, 'AGM4PApp': 16, 'GLYOX': 16, 'EX_ca2_e': 4}",8,0.12252478639596089,0.09189358979697085
41,"{'MI1PP': 32, 'MALTtexi': 0.03125, 'LDH_D2': 0, 'MNNH': 0.03125, 'TTRCYCtpp': 2, 'BMOGDS2': 4, 'GLYOX': 16, 'EX_ca2_e': 4}",8,0.12252478639596089,0.09189358979697085
42,"{'MI1PP': 32, 'MALTtexi': 0.03125, 'LDH_D2': 0, 'MNNH': 0.03125, 'TTRCYCtpp': 2, 'BMOGDS2': 4, 'AGM4PApp': 16, 'EX_ca2_e': 4}",8,0.12252478639596089,0.09189358979697085
43,"{'MI1PP': 32, 'MALTtexi': 0.03125, 'LDH_D2': 0, 'MNNH': 0.03125, 'TTRCYCtpp': 2, 'BMOGDS2': 4, 'AGM4PApp': 16, 'GLYOX': 16}",8,0.12252478639596089,0.09189358979697085
44,"{'MALTtexi': 0.03125, 'LDH_D2': 0, 'HYPOE': 0.25, 'BMOGDS2': 4, 'GLYOX': 16, 'LPLIPAL2A161': 0.0625, 'DDGALK': 0.5, 'EX_ca2_e': 4, 'PLIPA1G141pp': 0.25}",9,0.12252478639596089,0.09189358979697085
45,"{'MI1PP': 32, 'LDH_D2': 0, 'HYPOE': 0.25, 'BMOGDS2': 4, 'GLYOX': 16, 'LPLIPAL2A161': 0.0625, 'DDGALK': 0.5, 'EX_ca2_e': 4, 'PLIPA1G141pp': 0.25}",9,0.12252478639596089,0.09189358979697085
46,"{'MI1PP': 32, 'MALTtexi': 0.03125, 'HYPOE': 0.25, 'BMOGDS2': 4, 'GLYOX': 16, 'LPLIPAL2A161': 0.0625, 'DDGALK': 0.5, 'EX_ca2_e': 4, 'PLIPA1G141pp': 0.25}",9,0.12252478639596089,0.09189358979697085
47,"{'MI1PP': 32, 'MALTtexi': 0.03125, 'LDH_D2': 0, 'BMOGDS2': 4, 'GLYOX': 16, 'LPLIPAL2A161': 0.0625, 'DDGALK': 0.5, 'EX_ca2_e': 4, 'PLIPA1G141pp': 0.25}",9,0.12252478639596089,0.09189358979697085
48,"{'MI1PP': 32, 'MALTtexi': 0.03125, 'LDH_D2': 0, 'HYPOE': 0.25, 'GLYOX': 16, 'LPLIPAL2A161': 0.0625, 'DDGALK': 0.5, 'EX_ca2_e': 4, 'PLIPA1G141pp': 0.25}",9,0.12252478639596089,0.09189358979697085
49,"{'MI1PP': 32, 'MALTtexi': 0.03125, 'LDH_D2': 0, 'HYPOE': 0.25, 'BMOGDS2': 4, 'LPLIPAL2A161': 0.0625, 'DDGALK': 0.5, 'EX_ca2_e': 4, 'PLIPA1G141pp': 0.25}",9,0.12252478639596089,0.09189358979697085
50,"{'MI1PP': 32, 'MALTtexi': 0.03125, 'LDH_D2': 0, 'HYPOE': 0.25, 'BMOGDS2': 4, 'GLYOX': 16, 'DDGALK': 0.5, 'EX_ca2_e': 4, 'PLIPA1G141pp': 0.25}",9,0.12252478639596089,0.09189358979697085
51,"{'MI1PP': 32, 'MALTtexi': 0.03125, 'LDH_D2': 0, 'HYPOE': 0.25, 'BMOGDS2': 4, 'GLYOX': 16, 'LPLIPAL2A161': 0.0625, 'EX_ca2_e': 4, 'PLIPA1G141pp': 0.25}",9,0.12252478639596089,0.09189358979697085
52,"{'MI1PP': 32, 'MALTtexi': 0.03125, 'LDH_D2': 0, 'HYPOE': 0.25, 'BMOGDS2': 4, 'GLYOX': 16, 'LPLIPAL2A161': 0.0625, 'DDGALK': 0.5, 'PLIPA1G141pp': 0.25}",9,0.12252478639596089,0.09189358979697085
53,"{'MI1PP': 32, 'MALTtexi': 0.03125, 'LDH_D2': 0, 'HYPOE': 0.25, 'BMOGDS2': 4, 'GLYOX': 16, 'LPLIPAL2A161': 0.0625, 'DDGALK': 0.5, 'EX_ca2_e': 4}",9,0.12252478639596089,0.09189358979697085
54,"{'LDH_D2': 0, 'BMOGDS2': 4, 'AGM4PApp': 16, 'GLYOX': 16, 'MI1PP': 0.5, 'EX_ca2_e': 4, 'ARBTNtpp': 0.5}",7,0.12252478639596089,0.09189358979697085
55,"{'MALTtexi': 0.03125, 'BMOGDS2': 4, 'AGM4PApp': 16, 'GLYOX': 16, 'MI1PP': 0.5, 'EX_ca2_e': 4, 'ARBTNtpp': 0.5}",7,0.12252478639596089,0.09189358979697085
56,"{'MALTtexi': 0.03125, 'LDH_D2': 0, 'AGM4PApp': 16, 'GLYOX': 16, 'MI1PP': 0.5, 'EX_ca2_e': 4, 'ARBTNtpp': 0.5}",7,0.12252478639596089,0.09189358979697085
57,"{'MALTtexi': 0.03125, 'LDH_D2': 0, 'BMOGDS2': 4, 'GLYOX': 16, 'MI1PP': 0.5, 'EX_ca2_e': 4, 'ARBTNtpp': 0.5}",7,0.12252478639596089,0.09189358979697085
58,"{'MALTtexi': 0.03125, 'LDH_D2': 0, 'BMOGDS2': 4, 'AGM4PApp': 16, 'MI1PP': 0.5, 'EX_ca2_e': 4, 'ARBTNtpp': 0.5}",7,0.12252478639596089,0.09189358979697085
59,"{'MALTtexi': 0.03125, 'LDH_D2': 0, 'BMOGDS2': 4, 'AGM4PApp': 16, 'GLYOX': 16, 'MI1PP': 0.5, 'ARBTNtpp': 0.5}",7,0.12252478639596089,0.09189358979697085
60,"{'MALTtexi': 0.03125, 'LDH_D2': 0, 'BMOGDS2': 4, 'AGM4PApp': 16, 'GLYOX': 16, 'MI1PP': 0.5, 'EX_ca2_e': 4}",7,0.12252478639596089,0.09189358979697085
61,"{'TRE6PS': 2, 'LDH_D2': 0, 'HYPOE': 0.25, 'BMOGDS2': 4, 'GLYOX': 16, 'DDGALK': 0.5, 'EX_ca2_e': 4, 'PGPP141pp': 8, 'ETOHtex': 8}",9,0.12252478639596089,0.09189358979697085
62,"{'MI1PP': 32, 'LDH_D2': 0, 'HYPOE': 0.25, 'BMOGDS2': 4, 'GLYOX': 16, 'DDGALK': 0.5, 'EX_ca2_e': 4, 'PGPP141pp': 8, 'ETOHtex': 8}",9,0.12252478639596089,0.09189358979697085
63,"{'MI1PP': 32, 'TRE6PS': 2, 'HYPOE': 0.25, 'BMOGDS2': 4, 'GLYOX': 16, 'DDGALK': 0.5, 'EX_ca2_e': 4, 'PGPP141pp': 8, 'ETOHtex': 8}",9,0.12252478639596089,0.09189358979697085
64,"{'MI1PP': 32, 'TRE6PS': 2, 'LDH_D2': 0, 'BMOGDS2': 4, 'GLYOX': 16, 'DDGALK': 0.5, 'EX_ca2_e': 4, 'PGPP141pp': 8, 'ETOHtex': 8}",9,0.12252478639596089,0.09189358979697085
